Timestamp,What is your age?,Do you have an innie or an outie? ,Have you ever felt insecure about the look of your vulva?,Have you ever felt discomfort while wearing underwear due to the size of your vulva/size of the underwear?,Do you find that some underwear gussets (the crotch) are too small?,Have you ever gotten BV or a yeast infection from wearing underwear that wasn't breathable or was too tight?,"What is the average width of the underwear gussets in your underwear drawer? (measure the width of the crotch of a few pairs, add up all of the numbers, and divide that new number by the total number of pairs you counted)",What is your favorite underwear style?,What is your favorite type of rise?,What styles or colors do you want Cherri to make?,Any other feedback or comments for Cherri?
2021-08-22 23:31:34.018,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-22 23:32:00.959,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-22 23:32:24.774,25 - 32,Outie,No,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,,Keep doing the rad work 
2021-08-22 23:32:31.844,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Highwaisted,High waisted high leg thongs! Plus size!!!!! ,
2021-08-22 23:33:42.499,25 - 32,Outie,Yes,Yes,Yes,No,,Midrise/Lowrise Bikini,Lowrise,,
2021-08-22 23:33:45.136,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,Nude,
2021-08-22 23:34:06.449,18 - 24,Innie,No,Yes,Yes,No,,Brief,Highwaisted,,
2021-08-22 23:34:18.347,18 - 24,Innie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,,
2021-08-22 23:34:36.430,18 - 24,Innie,No,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-22 23:34:47.548,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,lingerie! i’m always lip slipping 🙄,
2021-08-22 23:35:11.205,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,"Dark witchy vibes, I have a hard time finding cute well fitting thongs that aren't light and girly ",
2021-08-22 23:35:51.575,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-22 23:35:54.889,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-22 23:37:27.960,25 - 32,Innie,No,No,Yes,Yes,,Thong,Highwaisted,Navy blue ,
2021-08-22 23:37:56.297,25 - 32,Innie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-22 23:37:56.396,Under 18,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,Nude,
2021-08-22 23:38:13.789,40 +,Innie,No,Yes,Yes,No,,Brief,Highwaisted,,A pair that is still a brief but cute and covers the fupa as well
2021-08-22 23:38:21.152,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Lowrise,,
2021-08-22 23:38:39.497,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,i just like black ,
2021-08-22 23:39:04.253,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Lowrise,,
2021-08-22 23:39:20.233,25 - 32,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,🤷🏼‍♀️,
2021-08-22 23:39:56.578,25 - 32,Innie,Yes,Yes,Yes,No,,Midrise/Lowrise Bikini,Midrise,Seamless for under formal clothes (any style!),
2021-08-22 23:41:13.008,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Purple black red blue evergreen ,
2021-08-22 23:43:03.603,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,More cheeky undies! So cute!,
2021-08-22 23:43:41.501,25 - 32,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-22 23:43:45.633,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-22 23:46:30.115,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,Sexy lace,
2021-08-22 23:48:09.603,25 - 32,Innie,No,No,Yes,Yes,,Thong,Highwaisted,black and red ,
2021-08-22 23:50:34.430,25 - 32,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,Patterns 😍,
2021-08-22 23:52:00.498,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-22 23:55:59.016,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Any,
2021-08-22 23:57:26.356,25 - 32,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-22 23:57:41.921,18 - 24,Outie,Yes,No,Yes,No,,Cheeky,Highwaisted,,
2021-08-22 23:58:01.130,25 - 32,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-22 23:58:28.084,33 - 39,Outie,Yes,Yes,Yes,Yes,,Shortie/Boxer,Midrise,,
2021-08-22 23:58:33.212,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,Tan,
2021-08-23 00:02:32.440,25 - 32,Innie,Yes,Yes,Yes,Yes,,Brief,Midrise,Black and colorful ,
2021-08-23 00:03:07.503,18 - 24,Innie,No,Yes,Yes,Yes,,Brief,Highwaisted,All colors of the rainbow!,"It’s great to see you have inclusive sizing! When you’ve grown, I’d love to see extended sizes in the plus range - Even if it was an on demand order or something. It’s so hard to find good panties as a 4XL!"
2021-08-23 00:03:13.963,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 00:03:23.942,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 00:04:02.297,Under 18,Innie,No,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 00:06:22.284,25 - 32,Innie,No,Yes,Yes,No,,Thong,Highwaisted,Rose tone,
2021-08-23 00:06:47.291,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 00:07:04.821,18 - 24,Outie,No,Yes,Yes,No,,Brief,Midrise,"black, blue, green",I love this brand.
2021-08-23 00:10:13.715,25 - 32,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 00:10:42.141,18 - 24,Innie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,Earth tones and rich jewel tones like dark green!!,
2021-08-23 00:11:50.501,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,Neutrals ,
2021-08-23 00:14:37.468,25 - 32,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 00:15:13.760,Under 18,Outie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 00:19:07.165,25 - 32,Innie,Yes,Yes,Yes,Yes,,Brief,Lowrise,,
2021-08-23 00:19:57.071,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 00:20:16.791,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-23 00:22:18.585,25 - 32,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 00:22:50.471,25 - 32,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,Red,
2021-08-23 00:23:30.933,18 - 24,Innie,Yes,Yes,Yes,No,,Midrise/Lowrise Bikini,Highwaisted,,
2021-08-23 00:26:03.581,25 - 32,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 00:27:21.794,18 - 24,Outie,Yes,Yes,Yes,No,,Brief,Highwaisted,,
2021-08-23 00:28:16.102,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 00:28:59.561,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,"high cut, high waisted cherries!!! ",
2021-08-23 00:29:00.034,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 00:29:41.707,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 00:29:45.878,25 - 32,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 00:31:00.320,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 00:33:50.140,18 - 24,Innie,Yes,Yes,Yes,No,,Midrise/Lowrise Bikini,Midrise,,
2021-08-23 00:34:44.829,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 00:35:00.258,25 - 32,Innie,Yes,No,Yes,Yes,,Thong,Midrise,,
2021-08-23 00:35:57.237,25 - 32,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 00:36:32.244,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-23 00:37:13.459,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 00:37:53.652,18 - 24,Outie,Yes,No,Yes,No,,Brief,Midrise,,
2021-08-23 00:39:02.409,18 - 24,Innie,No,Yes,Yes,No,,Thong,Midrise,no show thongs! like the super smooth ones without seams,love what you’re doing!
2021-08-23 00:40:43.135,25 - 32,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 00:40:43.859,25 - 32,Innie,No,Yes,Yes,Yes,,Shortie/Boxer,Lowrise,Cute or nerdy styles,
2021-08-23 00:44:13.673,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,Orange ,
2021-08-23 00:45:47.605,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,Navy blue,
2021-08-23 00:45:50.148,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 00:46:45.091,25 - 32,Innie,Yes,Yes,Yes,No,,Cheeky,Lowrise,,
2021-08-23 00:48:28.808,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 00:51:26.558,18 - 24,Outie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,White snd linen ,
2021-08-23 00:52:15.663,18 - 24,Innie,Yes,Yes,Yes,No,,Brief,Highwaisted,,
2021-08-23 00:53:48.625,25 - 32,Innie,No,Yes,Yes,No,,Brief,Lowrise,,
2021-08-23 00:54:59.317,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,Allll,
2021-08-23 00:55:03.838,18 - 24,Innie,No,Yes,Yes,Yes,,Shortie/Boxer,Midrise,,
2021-08-23 00:55:33.937,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,"Black or red or pink!
",
2021-08-23 00:58:20.015,18 - 24,Outie,Yes,No,No,No,,Thong,Midrise,,
2021-08-23 00:59:06.761,18 - 24,Innie,Yes,Yes,Yes,No,,Shortie/Boxer,Highwaisted,some of the vintage floral patterns (the dainty ones!) would be awesome! ,Thanks for looking out for Coochies everywhere <3
2021-08-23 00:59:09.611,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 00:59:58.041,25 - 32,Outie,Yes,Yes,Yes,Yes,,Cheeky,Lowrise,Black,
2021-08-23 01:02:19.125,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 01:04:04.833,18 - 24,Innie,Yes,Yes,Yes,Yes,,Brief,Midrise,,
2021-08-23 01:06:59.080,25 - 32,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Plain Black! ,
2021-08-23 01:07:11.940,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,Neutral colors,Nope :)
2021-08-23 01:08:04.547,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 01:08:31.088,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Midrise,"white, lilac purple ",
2021-08-23 01:09:31.507,25 - 32,Innie,No,Yes,Yes,No,,Cheeky,Midrise,Feminine/cutesy styles,
2021-08-23 01:11:55.743,18 - 24,Innie,Yes,No,Yes,Yes,,Thong,Highwaisted,,
2021-08-23 01:13:08.901,18 - 24,Innie,No,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-23 01:14:21.355,18 - 24,Outie,Yes,Yes,Yes,Yes,,Shortie/Boxer,Midrise,Yellow ,
2021-08-23 01:14:37.266,33 - 39,Innie,No,Yes,Yes,Yes,,Shortie/Boxer,Midrise,"I love black, gothic inspired things. Bats. Spiders. Spooky stuff 🖤",Thank you for making this line. Telling all my friends!
2021-08-23 01:19:41.803,18 - 24,Innie,No,Yes,Yes,No,,Midrise/Lowrise Bikini,Midrise,,
2021-08-23 01:21:12.842,25 - 32,Innie,Yes,Yes,Yes,No,,Brief,Midrise,Black ,
2021-08-23 01:28:33.107,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 01:30:48.998,18 - 24,Outie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,Neutrals,
2021-08-23 01:31:18.351,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,Maybe zodiac sign inspired? I bet people would love that! ,Keep doing what you're doing !! 
2021-08-23 01:33:11.769,18 - 24,Innie,No,Yes,Yes,No,,Thong,Midrise,Black ,
2021-08-23 01:34:18.790,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 01:34:53.698,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-23 01:38:23.380,25 - 32,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 01:38:29.003,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-23 01:41:20.280,25 - 32,Outie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,,
2021-08-23 01:42:11.143,25 - 32,Innie,No,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-23 01:42:37.847,18 - 24,Outie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,,
2021-08-23 01:43:37.407,25 - 32,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-23 01:50:17.961,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,I love the soft seamless style that target and pink carry. Just wish they fit. ,
2021-08-23 01:50:47.916,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 01:52:56.287,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 01:54:00.454,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,any and all pastel colors,you’re doing great girl!!
2021-08-23 01:54:43.324,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 01:55:59.361,18 - 24,Innie,No,Yes,Yes,No,,Midrise/Lowrise Bikini,Midrise,pink/strawberries/mint/sage green,
2021-08-23 01:56:10.122,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,Orange/green,
2021-08-23 01:59:19.045,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-23 02:00:27.036,25 - 32,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,Royal blue!,You are doing amazing sweetie
2021-08-23 02:01:45.028,18 - 24,Outie,No,Yes,Yes,No,,Brief,Midrise,,
2021-08-23 02:01:47.644,25 - 32,Innie,Yes,Yes,Yes,No,,Brief,Highwaisted,Green and purple,No
2021-08-23 02:03:39.861,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,I love patterns,
2021-08-23 02:06:49.093,25 - 32,Innie,Yes,No,Yes,Yes,,Brief,Highwaisted,Cute high waisted mid or high rise briefs! Wedgie free panties for us big booty girls! I seriously fucking hate thongs but most brands of briefs even get eaten by luscious ass! Fuck cheeky panties! ,"You’re doing gods work doll, keep up the good work 😘"
2021-08-23 02:08:33.612,18 - 24,Innie,Yes,Yes,Yes,No,,Midrise/Lowrise Bikini,Midrise,sexy yet comfortable,i love your tiktok 
2021-08-23 02:08:49.736,33 - 39,Innie,Yes,Yes,Yes,Yes,,Shortie/Boxer,Midrise,,
2021-08-23 02:10:07.808,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 02:10:37.650,25 - 32,Innie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 02:10:52.622,25 - 32,Outie,No,Yes,Yes,No,,Thong,Lowrise,,
2021-08-23 02:14:06.624,18 - 24,Innie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Highwaisted,,
2021-08-23 02:15:43.877,18 - 24,Innie,Yes,Yes,Yes,Yes,,Shortie/Boxer,Highwaisted,,
2021-08-23 02:16:02.726,25 - 32,Outie,Yes,Yes,Yes,No,,Brief,Midrise,Black or monochrome!grey with black trim is my favorite. Or anything goth/alt or halloweeny since october is soon!,Im going to look at your stock now but i hope you carry plus size. I wear a us size 14 in undies
2021-08-23 02:16:17.950,18 - 24,Innie,No,Yes,Yes,Yes,,Thong,Highwaisted,Neutral colors,
2021-08-23 02:25:19.370,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,LEOPARD,
2021-08-23 02:25:21.655,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,Black,
2021-08-23 02:25:44.807,Under 18,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 02:27:25.919,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 02:27:43.045,18 - 24,Innie,No,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 02:27:43.721,25 - 32,Innie,No,No,Yes,No,,Cheeky,Midrise,,
2021-08-23 02:27:46.968,18 - 24,Innie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,Black!,Not yet !
2021-08-23 02:28:41.592,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,"pink, black, nude, red",
2021-08-23 02:29:38.913,33 - 39,Innie,No,No,No,No,,Midrise/Lowrise Bikini,Lowrise,,
2021-08-23 02:29:40.681,25 - 32,Innie,Yes,Yes,Yes,No,,Thong,Lowrise,All,
2021-08-23 02:29:59.732,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,Seamless,
2021-08-23 02:30:15.478,25 - 32,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 02:32:20.661,25 - 32,Innie,Yes,No,Yes,Yes,,Thong,Midrise,,
2021-08-23 02:33:03.472,18 - 24,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 02:33:09.743,33 - 39,Outie,No,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 02:36:49.106,18 - 24,Innie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Lowrise,Lace,
2021-08-23 02:37:00.043,18 - 24,Outie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Black & pink,Awesome
2021-08-23 02:37:35.772,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,black,
2021-08-23 02:39:08.023,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,"Emerald green, sage green, lavender, ",
2021-08-23 02:39:37.662,18 - 24,Innie,No,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-23 02:39:40.456,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,Yellow and sunset orange,
2021-08-23 02:40:30.941,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 02:46:45.556,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 02:46:51.825,18 - 24,Outie,Yes,No,Yes,No,,Thong,Midrise,baby pink,
2021-08-23 02:47:36.227,25 - 32,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 02:49:19.930,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,Seamless for leggings!,
2021-08-23 02:50:26.135,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Red and Black,
2021-08-23 02:50:44.794,25 - 32,Innie,No,No,Yes,No,,Shortie/Boxer,Highwaisted,,
2021-08-23 02:50:58.470,25 - 32,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,Black,
2021-08-23 02:53:06.735,25 - 32,Innie,No,No,Yes,Yes,,Shortie/Boxer,Midrise,,
2021-08-23 02:54:44.088,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 02:57:46.387,18 - 24,Innie,Yes,No,Yes,No,,Cheeky,Midrise,,
2021-08-23 02:58:49.660,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 03:01:14.955,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 03:04:23.264,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-23 03:04:42.653,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 03:05:36.942,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,The like no seem legging safe panties ,
2021-08-23 03:11:16.489,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 03:11:22.891,18 - 24,Outie,Yes,Yes,Yes,Yes,,Brief,Midrise,,
2021-08-23 03:17:59.794,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Highwaisted,Black,
2021-08-23 03:21:09.629,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 03:21:51.833,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Halloween patterns? ,
2021-08-23 03:21:53.654,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 03:31:57.660,25 - 32,Innie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,Black!,Thanks for validating an issue I've had all my life 
2021-08-23 03:35:13.240,18 - 24,Innie,Yes,Yes,Yes,No,,Shortie/Boxer,Lowrise,,
2021-08-23 03:35:31.913,25 - 32,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-23 03:37:35.863,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Lowrise,,
2021-08-23 03:38:33.875,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,Pastel pink and black goth looks 😍,You are an amazing person for what you do! Thank you for your service!
2021-08-23 03:38:50.360,Under 18,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,"Neons, brights and blacks ",Nope 
2021-08-23 03:43:27.764,18 - 24,Innie,No,Yes,Yes,Yes,,Shortie/Boxer,Midrise,,
2021-08-23 03:50:02.571,25 - 32,Innie,No,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,Really cute cotton bikinis!!,
2021-08-23 03:53:06.266,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,,
2021-08-23 03:56:11.029,18 - 24,Innie,No,Yes,Yes,Yes,,Brief,Highwaisted,Purple,
2021-08-23 04:05:16.910,18 - 24,Outie,No,Yes,Yes,No,,Midrise/Lowrise Bikini,Highwaisted,,
2021-08-23 04:07:46.844,40 +,Innie,No,Yes,Yes,Yes,,Shortie/Boxer,Midrise,"black, purple, red",a loose-ish boxer made for a woman's shape would be amazing
2021-08-23 04:13:43.775,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 04:15:47.670,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,N/a,N/a
2021-08-23 04:17:43.392,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 04:18:44.978,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 04:24:22.202,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 04:33:03.031,18 - 24,Innie,Yes,Yes,Yes,No,,Brief,Highwaisted,,
2021-08-23 04:34:26.598,18 - 24,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,Lacey sexy  underwear,
2021-08-23 04:34:57.477,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,nudes,
2021-08-23 04:35:01.917,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,I love anything lace ,
2021-08-23 04:37:33.163,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,Blue,
2021-08-23 04:48:44.615,18 - 24,Outie,No,No,Yes,No,,Brief,Highwaisted,"Duck egg, purple, dark green ",
2021-08-23 04:50:49.201,18 - 24,Innie,Yes,Yes,Yes,Yes,,Brief,Highwaisted,,
2021-08-23 04:55:15.622,18 - 24,Innie,No,Yes,Yes,No,,Cheeky,Highwaisted,"Nude, Brazilian style",
2021-08-23 04:57:17.911,18 - 24,Innie,No,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-23 04:58:18.924,25 - 32,Outie,No,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 05:02:10.753,18 - 24,Innie,Yes,Yes,Yes,Yes,,Midrise/Lowrise Bikini,Midrise,Purples,
2021-08-23 05:04:39.908,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Highwaisted,,
2021-08-23 05:07:02.022,33 - 39,Innie,No,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 05:23:52.104,25 - 32,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,,
2021-08-23 05:30:37.258,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-23 05:31:09.106,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,Bright and fun colours but also practical ones❤️,
2021-08-23 05:36:51.443,18 - 24,Innie,Yes,Yes,Yes,No,,Cheeky,Midrise,"Skin tone thong with no VPL if possible, they’re so damn hard to find ",
2021-08-23 05:39:23.417,18 - 24,Innie,No,Yes,Yes,No,,Thong,Highwaisted,Basics,
2021-08-23 05:47:15.346,25 - 32,Innie,No,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-23 06:00:33.547,Under 18,Outie,Yes,Yes,Yes,Yes,,Thong,Midrise,,
2021-08-23 06:03:32.336,25 - 32,Outie,Yes,Yes,Yes,No,,Cheeky,Midrise,"Girl, I'm not picky I just don't need anything getting strangled anymore....and I like black ;) lol ",❤️❤️
2021-08-23 06:08:46.482,18 - 24,Innie,Yes,Yes,Yes,Yes,,Thong,Midrise,Tie dye/flowers,
2021-08-23 06:12:34.806,25 - 32,Innie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,Neutrals,
2021-08-23 06:15:20.414,25 - 32,Innie,Yes,Yes,Yes,Yes,,Thong,Highwaisted,,
2021-08-23 06:16:17.092,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,"Pink, black",
2021-08-23 06:17:48.280,18 - 24,Innie,Yes,Yes,Yes,No,,Thong,Highwaisted,Red,
2021-08-23 06:18:20.002,18 - 24,Outie,Yes,Yes,Yes,Yes,,Cheeky,Midrise,Black,
2021-08-23 06:18:47.943,18 - 24,Outie,Yes,Yes,No,No,,Shortie/Boxer,Midrise,Purple,
2021-08-23 06:23:46.192,25 - 32,Innie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-23 06:25:01.498,18 - 24,Innie,No,Yes,Yes,Yes,,Cheeky,Midrise,Anything cute,
2021-08-23 06:26:24.212,18 - 24,Outie,Yes,Yes,Yes,No,,Thong,Midrise,,
2021-08-23 06:31:54.178,25 - 32,Innie,Yes,Yes,Yes,No,,Cheeky,Highwaisted,,
2021-08-23 06:34:08.354,25 - 32,Innie,Yes,Yes,Yes,Yes,,Cheeky,Highwaisted,,
2021-08-23 06:34:38.475,25 - 32,Innie,No,Yes,No,No,,Brief,Highwaisted,,
2021-08-23 06:40:06.496,25 - 32,Outie,Yes,Yes,Yes,No,,Brief,Lowrise,,
